"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대전광역시청",대전광역시 계룡로 지하 889,대전광역시 중구 문화동 1-18 서대전광역시4가,교통정보수집,1,200,수시변경,30,1995-07,042-270-5353,36.3223272,127.4125159,2017-02-01
"대전광역시청",대전광역시 서구 정림동 산 30-2 불티구름다리,대전광역시 서구 정림동 산 30-2 불티구름다리,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3091541,127.3689267,2017-02-01
"대전광역시청",대전광역시 서구 가수원동 764-1 가수원4가,대전광역시 서구 가수원동 764-1 가수원4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3049712,127.3531206,2017-02-01
"대전광역시청",대전광역시 동구 가양동 424-1 동부4가,대전광역시 동구 가양동 424-1 동부4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3511321,127.4423086,2017-02-01
"대전광역시청",대전광역시 동구 계족로 405,대전광역시 동구 홍도동 9-4  용전4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3474016,127.4319172,2017-02-01
"대전광역시청",대전광역시 동구 태전로 145,대전광역시 동구 삼성동 361-2 삼성성당4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3406303,127.4209654,2017-02-01
"대전광역시청",대전광역시 중구 대종로 624,대전광역시 중구 중촌동 391-3 중촌4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3366279,127.4160559,2017-02-01
"대전광역시청",대전광역시 중구 계룡로 789,대전광역시 중구 용두동 119-7  동서로4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3286646,127.4050944,2017-02-01
"대전광역시청",대전광역시 중구 동서대로 1218,대전광역시 중구 태평동 381-16 태평5가,교통정보수집,1,200,수시변경,30,1997-10,042-270-5353,36.3256579,127.3949789,2017-02-01
"대전광역시청",대전광역시 서구 가장동 202 가장교5가,대전광역시 서구 가장동 202 가장교5가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3279866,127.3886204,2017-02-01
"대전광역시청",대전광역시 서구 변동 12-56 변동5가,대전광역시 서구 변동 12-56 변동5가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3285567,127.3813564,2017-02-01
"대전광역시청",대전광역시 서구 동서대로 994,대전광역시 서구 내동 167 안골4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3337351,127.3718917,2017-02-01
"대전광역시청",대전광역시 서구 둔산동 1535 큰마을4가,대전광역시 서구 둔산동 1535 큰마을4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3488025,127.3769202,2017-02-01
"대전광역시청",대전광역시 서구 월평동 1505 선사유적4가,대전광역시 서구 월평동 1505 선사유적4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3598761,127.3793765,2017-02-01
"대전광역시청",대전광역시 서구 만년동 418 만년4가,대전광역시 서구 만년동 418 만년4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3650499,127.3796192,2017-02-01
"대전광역시청",대전광역시 유성구 방현동 3-3 화암4가,대전광역시 유성구 방현동 3-3 화암4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.4075767,127.3754622,2017-02-01
"대전광역시청",대전광역시 유성구 봉산동 170-2 신구교4가,대전광역시 유성구 봉산동 170-2 신구교4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.4362755,127.3916134,2017-02-01
"대전광역시청",대전광역시 중구 계룡로 942,대전광역시 중구 대사동 248-229 충대병원4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3182445,127.4175172,2017-02-01
"대전광역시청",대전광역시 중구 대흥로 97,대전광역시 중구 대흥동 451-5 대고5가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3224918,127.4230217,2017-02-01
"대전광역시청",대전광역시 보문로 57,대전광역시 중구 부사동 151-1 부사4가,교통정보수집,1,200,수시변경,30,1997-10,042-270-5353,36.3130913,127.4348096,2017-02-01
"대전광역시청",대전광역시 동구 대성동 224-8 대성3가,대전광역시 동구 대성동 224-8 대성3가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.2959681,127.4604078,2017-02-01
"대전광역시청",대전광역시 중구 대종로 583,대전광역시 중구 선화동 152-1 대종로4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3335987,127.4195662,2017-02-01
"대전광역시청",대전광역시 동구 성남동 56-7 성남4가,대전광역시 동구 성남동 56-7 성남4가,교통정보수집,1,200,수시변경,30,1993-07,042-270-5353,36.3407262,127.4360885,2017-02-01
"대전광역시청",대전광역시 동구 삼성동 295-12 삼성4가,대전광역시 동구 삼성동 295-12 삼성4가,교통정보수집,1,200,수시변경,30,2003-01,042-270-5353,36.3381639,127.4296114,2017-02-01
"대전광역시청",대전광역시 동구 대전광역시로 745-1 원동4가,대전광역시 동구 대전광역시로 745-1 원동4가,교통정보수집,1,200,수시변경,30,1996-06,042-270-5353,36.3266606,127.4351772,2017-02-01
"대전광역시청",대전광역시 동구 동대전광역시로 80,대전광역시 동구 대동 180-18 대동5가,교통정보수집,1,200,수시변경,30,1996-06,042-270-5353,36.3294968,127.4432097,2017-02-01
